gene_id,gene_name,S231145,S231288,S231447,S231491,S231603,VN_0005,VN_0007,VN_0012,VN_0085,VN_0188,VN_0413,VN_0812,VN_0822
ENSG00000000003.14,TSPAN6,10,8,2,5,3,6,5,9,18,8,8,5,4
ENSG00000000005.5,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.12,DPM1,318,456,370.001,381,330.999,173.001,237,119,169,285,146,209,145
ENSG00000000457.13,SCYL3,526,903.999,634,854.001,801,478,473,253,589,296,387.001,530,519.999
ENSG00000000460.16,C1orf112,152,134.001,158.001,149.999,182,104,88,61.999,46,69,78,104,115
ENSG00000000938.12,FGR,8557,13833,12410.999,13736,13074,5985,7703,3178.001,5505.999,7013.001,6786,5678,5924.001
ENSG00000000971.15,CFH,132,229.001,83,56,165,201,111,31,82.999,41,42,72,59.001
ENSG00000001036.13,FUCA2,346,493,335,464,379,454,369,207,323,290,335,220,234
ENSG00000001084.10,GCLC,428.999,735.001,403.001,522,384,427,335,300.999,391.999,399,336,341.001,275
ENSG00000001167.14,NFYA,1082,1515,1299,1418,1236,884,1048,966,900,1363,1245,983,1014
ENSG00000001460.17,STPG1,38,52.001,53,48,51,27.001,22,16,12,19,8,20,18
ENSG00000001461.16,NIPAL3,1183,1892.999,813,1571.001,1466.999,839.001,584,421.999,957,507,436.001,837.001,555.999
ENSG00000001497.16,LAS1L,453,787.999,402,698,596,201,186.999,165.001,237,220,175,221,185
ENSG00000001561.6,ENPP4,707,684,534,518,358,613,188,403,612,464,428,427,290
ENSG00000001617.11,SEMA3F,0,4,0,0,3,0,0,1,0,0,0,0,0
ENSG00000001626.14,CFTR,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629.9,ANKIB1,1193,1806,1034.999,1418.001,1209.999,1103,942,700,1105.999,879,879.001,867,726
ENSG00000001630.15,CYP51A1,338.981,461,255.468,360,297,245,210,193.884,412,342,325,208,170
ENSG00000001631.14,KRIT1,697.323,864.609,609.096,670.016,484.137,528.947,504.831,289.327,359.922,273.092,323.547,497.447,399.317
ENSG00000002016.16,RAD52,206.001,176.001,174.001,255.001,209,194.999,152,63,119.999,57,61,103,69
ENSG00000002079.12,MYH16,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002330.13,BAD,202,311,261.999,238,307.001,123,80,60.999,156,116.001,122,70.001,91
ENSG00000002549.12,LAP3,1033,1498,1021,2126,1385.001,873,1314.999,333.001,1163,740.999,1390,962,421.001
ENSG00000002586.17,CD99,2209,3439.001,1726.001,2840.999,2726,1100,996.001,762,2279,1220,868,804,883.999
ENSG00000002587.9,HS3ST1,70,23,31,42,62,11,5,5,15,9,7,27,13
ENSG00000002726.19,AOC1,6,84,3,132.999,12,0,4,2,1,14,53,28,22
ENSG00000002745.12,WNT16,6,4,10,14,10,10,16,3,21,2,0,9,2
ENSG00000002746.14,HECW1,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000002822.15,MAD1L1,550.999,928.002,536,1075.999,851.001,254.001,258,123,385.001,193,142,185,161.999
ENSG00000002834.17,LASP1,9515.999,16318,13844.999,15992,17236,6818,7477,4286.999,8271,7737,7656,6528,7837
ENSG00000002919.14,SNX11,696,1652.001,1214,1500,1756,1109.001,1025,346,1800,641,723.001,827,1280
ENSG00000002933.7,TMEM176A,97.001,657.001,17,305.001,95,57,301,20,104,415.999,238.001,163,246.999
ENSG00000003056.7,M6PR,2936,4784,2626.999,3990.999,3303,2402.999,1927.999,1066,2146.998,1447,1454,1851.001,1763.999
ENSG00000003096.13,KLHL13,5,7,3,30,15,7,10,13,8,13,26,7,12
ENSG00000003137.8,CYP26B1,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000003147.17,ICA1,26,74.999,42,60.001,75,25,50,33,39,37,38.999,37,44
ENSG00000003249.13,DBNDD1,73.001,98,39,138,159,31,29,12,22,31,9,4,5
ENSG00000003393.14,ALS2,302,490.999,336.001,336,419.001,334.999,301,211,320.999,206.999,191,221.001,287
ENSG00000003400.14,CASP10,1324.001,1969,1583.001,1919.001,1474.191,1361.001,1112,719,1494,567.001,799.131,1330.001,963
ENSG00000003402.19,CFLAR,17107.001,23113,29882,24686,31611.998,14025.001,17132.26,9772.999,15419.999,14926.999,14260.002,16277.582,19412.011
ENSG00000003436.14,TFPI,54,131.001,63,41,34.001,34,25,128.999,44,81,91,28,83
ENSG00000003509.15,NDUFAF7,252,290.001,198,259,254,166,169.999,106.999,140.001,88,129,173,137
ENSG00000003756.16,RBM5,4385.002,6446.999,5760.003,6381.001,6244,4263.895,4057,2580.999,3348.954,2489.999,2868.001,4361.001,4334.961
ENSG00000003987.13,MTMR7,1,7,6,2,2,4,2,2,5,2,0,1,1
ENSG00000003989.16,SLC7A2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004059.10,ARF5,1184.732,2390.304,1644.753,2084.948,2144.463,856.318,930.881,539.42,1680.83,1229.001,1041.391,807.256,1017.175
ENSG00000004139.13,SARM1,933.807,1202.001,639,1174,1038.421,410.135,348.954,338,413,349.253,418.548,403,347
ENSG00000004142.11,POLDIP2,474,986,620,823,759,406,380,214,481,422,354,313,331
ENSG00000004399.12,PLXND1,2848.001,3287.001,2204,3551.999,2188.001,2051.002,1292.999,876.001,979.001,890,1009,997,1287
ENSG00000004455.16,AK2,1114,1922.024,1034,1746.116,1548.001,1091.999,891,601.001,1231.99,957.999,870,901,793
ENSG00000004468.12,CD38,514,732,933,758,615,755.001,335,596,669.999,579,893.999,631.999,387
ENSG00000004478.7,FKBP4,519,811,487.999,709,675,390,266,145,431,196,157,287.001,350
ENSG00000004487.15,KDM1A,761,1084,634.001,944,776.999,473,376,336,533.999,368,342,432,299
ENSG00000004534.14,RBM6,2542,4040.998,2726.999,3066.999,2998.001,1398.105,1523.001,728.999,1224.046,727,613,1511,872.037
ENSG00000004660.14,CAMKK1,240,646.999,605,461,905,292.001,382,207,186,394,375,148.001,282
ENSG00000004700.15,RECQL,1366.001,1834,1324,1420,1521,1052.001,819,628,1399.999,767.999,724,858.001,763
ENSG00000004766.15,CCDC132,490.001,694.001,408.001,575.998,438,516,369.999,253,566,230.001,242.001,389,395.002
ENSG00000004776.11,HSPB6,2,0,0,1,2,0,0,0,2,0,0,0,0
ENSG00000004777.18,ARHGAP33,185,216,158,242,306.001,62.001,44,60,57,51,43.999,51,72
ENSG00000004779.9,NDUFAB1,192,278,135,263,169,106,103,50.001,147,73,59,95,74
ENSG00000004799.7,PDK4,656,269,293,465,100,605,638,800,84,464,358,401,381
ENSG00000004809.13,SLC22A16,22,30,30,20,33,17,21,12,6,5,13,17,22
ENSG00000004838.13,ZMYND10,92,143,71,67,107,55,11,10,72,9,23,44,48
ENSG00000004846.16,ABCB5,0,0,0,1,0,1,0,0,0,0,0,0,0
ENSG00000004848.6,ARX,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004864.13,SLC25A13,149,269,176.999,267,195.999,184,149,135,140,168,139.001,125,118
ENSG00000004866.18,ST7,114,141,102,83.999,96,80,52.999,108.001,57,54.001,79,50.001,70.001
ENSG00000004897.11,CDC27,1082.001,1373.002,1165.001,1262,1122.999,1146.999,856.001,690,848.999,760,878.001,1018.001,870.001
ENSG00000004939.13,SLC4A1,78,19,8,14.001,27,3,4,35,20,7,77,7,184
ENSG00000004948.13,CALCR,0,0,0,1,2,0,0,0,0,1,0,0,0
ENSG00000004961.14,HCCS,176,265,207,264,193,235,161,57,159,108,133,136,139
ENSG00000004975.11,DVL2,579.001,766,446.999,688,663.998,228,222,187,176.998,204.999,236,269.001,186.001
ENSG00000005001.9,PRSS22,14,6,0,3,16,3,0,1,2,3,0,2,3
ENSG00000005007.12,UPF1,4162.999,6362.001,5942.999,5996,7160.001,2370,2342.998,1320.999,2873.002,2061.999,2126,2629,3104
ENSG00000005020.12,SKAP2,2646,4127,4417.999,2836.999,2535.999,1939,3312,1094,2400,3247,2581.001,2918,2363
ENSG00000005022.5,SLC25A5,1274,2349.001,1436,1921,1708,1248,1127,842,1510,1387,1161,929,950
ENSG00000005059.15,CCDC109B,672,1127.999,612,1119.999,810,622.999,580.999,441.999,499.002,808.999,686,664,412
ENSG00000005073.5,HOXA11,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005075.15,POLR2J,263.197,422.581,362.924,318.18,317.83,98.399,117.059,71.552,74.421,105.413,111.62,107.1,82.659
ENSG00000005100.12,DHX33,406.999,505,321,466.001,366,310,251.999,165,232,225,174,237,206
ENSG00000005102.12,MEOX1,29,51,19,35,46,13,3,4,25,9,12,16,7
ENSG00000005108.15,THSD7A,11,11,18,14,13,5,0,8,7,6,9,6,16
ENSG00000005156.11,LIG3,880,1241.999,649,1093.002,930.999,647.999,514.001,395.001,508,505,629.999,612,427.001
ENSG00000005175.9,RPAP3,600.999,936.001,943.999,834,598.001,526,597.001,263,623,627,537.001,630,516
ENSG00000005187.11,ACSM3,120.999,89.999,150,123,163,55,52,51,74.999,70,120,51,59
ENSG00000005189.19,AC004381.6,6,34,18,28,25,9,5,13,22,3,20,9,13
ENSG00000005194.14,CIAPIN1,307,576.001,272.999,505.001,464.001,252.001,135,153.999,379,184.001,216.001,198,192
ENSG00000005206.16,SPPL2B,1078.999,1535,1029,1777,1647.001,413.999,373.104,401.999,512,352.999,391.674,466.999,388.002
ENSG00000005238.19,FAM214B,1385,2182,2302,2006.001,2452.001,914.999,1147,895.999,892,1320.001,1761,1004,1270.999
ENSG00000005243.9,COPZ2,20,34,13,10,7,6,13,4,12,7,7,6,0
ENSG00000005249.12,PRKAR2B,1220,2944,1351,995,990,575,547,2175,1275,1224,1841,299,1342
ENSG00000005302.17,MSL3,1735,2378,1856.001,2427,2571.001,1301.002,1331.999,1044.001,1304.002,1391.999,1169,1630.999,1439
ENSG00000005339.12,CREBBP,9543.999,9380,12091,9105,8899,3847,5500.001,3384.001,2992,5047.001,4305,4460.001,3889
ENSG00000005379.15,BZRAP1,1838.999,1697,1414,1669,2240,901.999,335.999,734.001,943.001,425.999,851.998,865.999,709
ENSG00000005381.7,MPO,49,77,135,58,55,48,72,51,143,81,76,36,49
ENSG00000005421.8,PON1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005436.13,GCFC2,209,396,145.001,300.001,232,169,142.999,147,175.999,161,141.999,158.999,116
ENSG00000005448.16,WDR54,145.001,193,105,138,194,66,33,44,86,50,26,68,24
ENSG00000005469.11,CROT,190.001,310,145,217,232,187.999,107,110,173.999,76.999,79,137,108
ENSG00000005471.15,ABCB4,61.999,41,87,72,82,35,28,19,47,25,21,40,13
ENSG00000005483.19,KMT2E,5130.001,6250,6030,5864.998,4849.001,3434.001,3944.001,3105,2554.999,4132.999,3631,3757.001,2818.999
ENSG00000005486.16,RHBDD2,642,817,822.001,852,1070,348,388.999,321.001,302,643,549.001,323.001,303
ENSG00000005513.9,SOX8,20,80,2,24,35,10,8,15,26,6,22,13,13
ENSG00000005700.14,IBTK,1159.001,1402,848,1312.002,1041,1207.001,838,623.001,1115,904.999,832,838.999,760.999
ENSG00000005801.16,ZNF195,285.001,341,223,305,195.999,171,149.998,111.001,125.001,106,129,173.001,111.998
ENSG00000005810.17,MYCBP2,8278.001,9611.001,7412.001,9036.999,7083.999,7339.001,5420.001,4456.001,6920,5975,6342,6058,4598
ENSG00000005812.10,FBXL3,2045.999,3152,2575.999,2891,2891,2234,1994.001,1535,2994,2543.999,2691,2119.001,2424
ENSG00000005844.17,ITGAL,15841.001,22581.002,14217,19097.999,20710,9426.001,6736.001,5332.999,11812.001,8609,7750.001,6745.999,7294
ENSG00000005882.11,PDK2,284,460,270,445.999,417,164,130,124,179.001,144,118,132,107
ENSG00000005884.17,ITGA3,93,184,72,123,127,47,38,31,58,18,19,29.001,24
ENSG00000005889.15,ZFX,2740,3780.999,2838.001,3813.999,3264,2434.001,2052.999,2113,2967.001,3515,3031.999,2246,2331
ENSG00000005893.15,LAMP2,4373.999,5753,7152.001,5736,5129,5295.001,6350,3399.001,4388,8328.999,6567,5178,6305
ENSG00000005961.17,ITGA2B,1024.999,2687,1236,1046.001,1380.001,274,301,1244,769,1332.999,1189,202,896
ENSG00000005981.12,ASB4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006007.11,GDE1,1029,1533.001,1423,1658,1753.999,902,1103,557,935.001,1717,863,872.999,874.999
ENSG00000006015.17,C19orf60,638,876,388.999,728.001,824,203,201.002,106,388,163.001,145.001,202,174
ENSG00000006016.10,CRLF1,4,6,2,1,4,3,1,1,2,1,0,2,4
ENSG00000006025.11,OSBPL7,644.001,715,627,721,710.999,287.001,170.999,308.001,277,261,292,299,187
ENSG00000006042.11,TMEM98,0,1,0,5,0,0,0,0,0,0,0,3,0
ENSG00000006047.12,YBX2,0,1,1,6,0,0,0,0,0,2,2,0,0
ENSG00000006059.3,KRT33A,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006062.13,MAP3K14,1137,1699.999,1155,1540,1565.001,698,646,371,537.999,519.999,534,521,552.001
ENSG00000006071.11,ABCC8,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000006116.3,CACNG3,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000006118.14,TMEM132A,25,40,42,49,68,18,12,21,7,12,31,21,4
ENSG00000006125.16,AP2B1,4394.001,6260,3899,5273.002,4601.998,3322.001,2617,1983.999,3636.002,3141.999,2860.999,2766.999,2287.001
ENSG00000006128.11,TAC1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006194.9,ZNF263,596,1052.001,470,782.001,845.001,435,362.001,302.999,550.999,466,448,380.999,371
ENSG00000006210.6,CX3CL1,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000006282.19,SPATA20,475.999,814.999,396,786,694.001,282.999,238,226.999,360,130,216.001,222,242
ENSG00000006283.17,CACNA1G,0,0,8,0,0,0,0,0,0,1,0,0,0
ENSG00000006327.13,TNFRSF12A,62,110,75,87,129,22,28,54,16,65,144,19,35
ENSG00000006377.10,DLX6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006432.15,MAP3K9,378,339,234,369,375.999,158,131.999,152,187,136.999,147.001,175,112
ENSG00000006451.7,RALA,501,728,415,711,541,460,335,199,473,229.999,256,424,288
ENSG00000006453.13,BAIAP2L1,16,36,13,22,25,6,5,11,9,5,3,4,5
ENSG00000006459.10,KDM7A,3557,4642,4413,4629,3782.001,3470,3732,2332.001,3407,3920,3403,3516,3258
ENSG00000006468.13,ETV1,4,4,4,2,1,0,3,0,3,2,4,1,0
ENSG00000006530.15,AGK,311,508.001,335,453,363,296.001,208.001,188.999,256,206,171,281.001,173
ENSG00000006534.15,ALDH3B1,776,1297.001,929,1328,1212.001,516,549,308,554,565,553,351,506
ENSG00000006555.10,TTC22,423,519.001,277,402.999,471,182,118,63,206,88,55,168,130
ENSG00000006576.16,PHTF2,864,1184,745,748,910,794,542.999,537,676,536.001,530.001,643,572
ENSG00000006606.8,CCL26,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006607.13,FARP2,541,695.001,435.001,569,593.001,367.001,348,232.001,338.999,301,353,365,292.999
ENSG00000006611.15,USH1C,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006625.17,GGCT,69,111.752,70.503,92.89,56,31,44.825,19,59,28,18,35.525,21
ENSG00000006634.7,DBF4,189,202,145,211.999,173.999,148,106,189,101,207,235,145,56.999
ENSG00000006638.11,TBXA2R,114,173,77,166,149,29,12,39,57,40,81,20,32
ENSG00000006652.13,IFRD1,1286.001,2066,2952.001,2043.999,2777.999,1095,1817.001,2421,1334,2055.001,1724.001,1678,1760.999
ENSG00000006659.12,LGALS14,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000006695.10,COX10,208,308,153,250,235.001,167.999,123,83,77,142.001,72,122,76
ENSG00000006704.10,GTF2IRD1,16,11,0,1,12,2,1,2,0,1,0,0,3
ENSG00000006712.14,PAF1,519.999,859,790,702.001,657,199,281,136,237,184.999,167,195,155
ENSG00000006715.15,VPS41,1614.999,2652.999,2141.999,2456.999,1906,1767,1488,904,2082,1342.999,1028.999,1399.999,1299
ENSG00000006740.16,ARHGAP44,7,7,0,14,4,2,2,4,6,3,0,9,0
ENSG00000006744.18,ELAC2,782.999,1304,651.001,1130,1248.999,459,382,331.999,460.999,287.001,341,431,359.999
ENSG00000006747.14,SCIN,9,13,10,7,1,7,7,7,4,4,10,11.365,0
ENSG00000006756.15,ARSD,706.001,1081,634,1085.001,1171,672,702.999,272,805,373,453,537,537
ENSG00000006757.11,PNPLA4,52,75,45,74.999,52,46,39.001,16,35.001,26.001,35,46,36
ENSG00000006788.12,MYH13,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006831.9,ADIPOR2,1260,1967,1445,1644,1382.001,1276,1030,730.001,1046.001,1173,1100,1009,968.001
ENSG00000006837.11,CDKL3,1,4.688,4,0,0,2,1.225,1.347,6,1.308,3.222,1.453,2
ENSG00000007001.12,UPP2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007038.10,PRSS21,23,31,12,25,30,30.999,6.999,35.001,20,7,1,16,2
ENSG00000007047.14,MARK4,1020,885,1055.999,1096,1091,400,517,201.001,381.999,423,370,347,349
ENSG00000007062.11,PROM1,0,5,0,2,1,2,5,2,1,2,2,2,3
ENSG00000007080.10,CCDC124,234.001,339,241,303.999,213,66.999,87,36,64,64,42,73.999,42
ENSG00000007129.17,CEACAM21,136.001,396,101,283.999,273,140.001,95,44,196.999,84,70,104,96.999
ENSG00000007168.12,PAFAH1B1,3767.001,6079.001,4753,5487,4965,4085,3340,2455.998,4835.069,3664.191,3222.999,3485.999,2958
ENSG00000007171.16,NOS2,2,8,6,2,1,4,3,0,0,0,0,1,0
ENSG00000007174.17,DNAH9,1,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000007202.14,KIAA0100,4685.999,6989.999,4264,6914.999,6023.998,3964.002,3129.001,2100,3731.998,2846,2954.999,2856,3174.001
ENSG00000007216.14,SLC13A2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007237.18,GAS7,3740.999,5232.001,6808.999,7326,5568,4193.999,3404.001,2455.001,2813.001,4274.001,3865,2541.999,3284.001
ENSG00000007255.10,TRAPPC6A,179.999,352,94,306,316,102,105.999,77,218,143,76,81,48
ENSG00000007264.13,MATK,1198,1482.001,1044,1298,1255,500,164,250.001,717,340,279.001,387.001,244
ENSG00000007306.14,CEACAM7,0,0,4,4,0,0,0,0,0,0,0,0,0
ENSG00000007312.12,CD79B,1145,986.999,1056,1361,1803.999,353,288,188,625.999,313,171,238.001,259.001
ENSG00000007314.11,SCN4A,20,5,11,14,15,11,2,0,4,1,2,8,0
ENSG00000007341.18,ST7L,194.999,206.001,128.999,149.001,150,138.999,119.001,125,97.001,92,94,151.999,77
ENSG00000007350.16,TKTL1,483,48,38,43,38,89,16,46,57,75,112,53,39
ENSG00000007372.20,PAX6,1,4,0,0,0,1,0,0,0,1,0,0,4
ENSG00000007376.7,RPUSD1,409.001,579.001,363,636,652.999,164.999,146,134,233.999,188,210.001,140.998,172
ENSG00000007384.15,RHBDF1,1,1,0,9,9,1,0,1,0,0,3,0,0
ENSG00000007392.16,LUC7L,1296.999,1709.999,1247,1605.998,1396,947.999,674.002,790,564,616.001,602.001,887,579
ENSG00000007402.11,CACNA2D2,656,578,388.001,372,353,163,55,184,288,132,119,216,100
ENSG00000007516.13,BAIAP3,529,798.001,895,360,683.001,265,201,240,120,232,162.999,209.001,289.001
ENSG00000007520.3,TSR3,379,675,353,531,590,132,124,59,223,120,97,105,80
ENSG00000007541.14,PIGQ,627.001,744.001,489.001,846.998,938.999,247.999,214,168.001,262,211,214,215.001,280.999
ENSG00000007545.15,CRAMP1L,970.274,1341.736,1027.229,1342.78,1286.348,686.583,474.146,378.852,694.606,408.206,448.173,622.505,476.115
ENSG00000007866.18,TEAD3,2,5,5,15,13,3,7,1,0,3,0,2,1
ENSG00000007908.15,SELE,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007923.15,DNAJC11,504,731,376,595,528.001,237.999,247,140,298,185.001,189,237,178
ENSG00000007933.12,FMO3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007944.14,MYLIP,1449,1989,1107,1674,2252,1155,1116,1032,1331,1277,1543,1468,1430
ENSG00000007952.17,NOX1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007968.6,E2F2,294,396,267,414,425,118,173,118,165,119,211,129,185
ENSG00000008018.8,PSMB1,861,1402,904,1146,985,600,518,571,601,717,706,576,475
ENSG00000008056.12,SYN1,5,10,12,6,6,0,1,1,0,1,4,4,1
ENSG00000008083.13,JARID2,2653,4508,4631,4247,3848,2057,2386,1786,2087,2336,3106,2082,2042
ENSG00000008086.10,CDKL5,401,650,638,573,609,518,439,254.001,499,572,404,551,659
ENSG00000008118.9,CAMK1G,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000008128.22,CDK11A,575.079,1068.807,522.423,1000.814,972.437,135.189,367.037,335.49,216.976,254.295,304.712,302.11,442.014
ENSG00000008130.15,NADK,7672.001,15568.999,15003.999,14858.999,21968.001,6435.999,9745,3515.999,11237.001,6535,7729.999,7520,9021.001
ENSG00000008196.12,TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008197.4,TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008226.19,DLEC1,163.999,279.001,162,248.001,235.999,115.001,98,55,60,54,63,109.999,142
ENSG00000008256.15,CYTH3,306,525.001,308,274,487,292.001,179,126,190,166,147,179,190
ENSG00000008277.14,ADAM22,165,154,102,115,78,95,45,67,59,46,61,85.999,50
ENSG00000008282.7,SYPL1,762.001,1055.999,706.001,975,908,872,612,588,1076,978.999,820,529,663
ENSG00000008283.15,CYB561,465.999,1266.001,598.001,741,918.002,406,220.999,167,577.001,228,205,355,261
ENSG00000008294.20,SPAG9,3061,4966.001,5197.001,4281.999,4697.999,2882,3239.998,2532.001,3138,3139.002,3217.001,3239.999,4043
ENSG00000008300.14,CELSR3,222,219,111,158.001,189,78,47,34,55.999,43,44,76.001,50
ENSG00000008311.14,AASS,83.001,72,44,38,65,35,7,35,55,17,45,44,44
ENSG00000008323.15,PLEKHG6,12,12,19,16,37,5,13,2,7,0,2,10,8
ENSG00000008324.10,SS18L2,222,293,209.001,245,200,279,216.999,170,322,304,230,199,170
ENSG00000008382.15,MPND,217,258,178,250.001,257,102,74,69,108,86,75,88.001,94
ENSG00000008394.12,MGST1,122,107,69,123,90,154,210,67,164.001,87,71,55.999,87
ENSG00000008405.11,CRY1,505,637,394,551,501,233,167,338,261,292.999,291,261,168
ENSG00000008438.4,PGLYRP1,168,167,156,93,284,15,131,52,102,158,165,50,150
ENSG00000008441.16,NFIX,162,342,239.999,340,215,124,140,49,153,86,78,77,73
ENSG00000008513.14,ST3GAL1,3575,5613,4038.002,4923,4889.999,2238,1948.001,1710,2738.999,1925,2141,2656.001,1492
ENSG00000008516.16,MMP25,9426,14458,18447,14644,23939.001,3568,7160.999,3291.999,4392,8617,5936.001,5626.001,9353.999
ENSG00000008517.16,IL32,4298.999,9475.999,3665.999,6873.998,5586.001,1860.999,1166.998,796.002,5073.999,2312.002,830.001,1764,835.999
ENSG00000008710.17,PKD1,3443.467,3969.871,1777.464,3699.026,3761.296,1218.789,939.943,795.329,1667.704,1122.091,1084.836,1044.048,1269.912
ENSG00000008735.13,MAPK8IP2,19,18,16,24,14,3,5,5,3,15,9,10,4
ENSG00000008838.17,MED24,772.002,1233.998,661,1113.999,1036.001,543.001,361.001,303.999,482.002,318.001,323.001,377,315.999
ENSG00000008853.16,RHOBTB2,474,584,342,556,791,244,219,113,282,140,202,240.999,184
ENSG00000008869.11,HEATR5B,1961.001,2365.999,1628,2571.999,2150.001,1560,1353,1211.001,1564.999,1178,1542.001,1611.001,1250.999
ENSG00000008952.16,SEC62,1594,2360.999,1869.999,2032.999,1497.001,1523,1415,944.001,1429,1578.999,1175,1355.001,1064
ENSG00000008988.9,RPS20,6869.001,16137.966,5348.999,12999.001,11214.999,4763,3881,3359.999,10797.001,6133.999,3920.999,4341.001,2193.001
ENSG00000009307.15,CSDE1,8389.999,14443.002,9722.999,11797.002,9838.002,7115,7267.999,5532,7149.001,10068.001,8310,6823,5265
ENSG00000009335.17,UBE3C,1911.001,2860,1736.002,2456,2274,1645,1109.999,941,1575.999,1346,1160.999,1239,1241.999
ENSG00000009413.15,REV3L,1462,1657.001,1453,1447,1207.001,1253,1174.999,948.999,935,1299,1174.001,1200.999,1104
ENSG00000009694.13,TENM1,184,264,82,347,241,89,51,166,118,178,110,140,145
ENSG00000009709.11,PAX7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000009724.16,MASP2,7,8,8,5,4,12,1,3,1,10,6,4,5
ENSG00000009765.14,IYD,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000009780.15,FAM76A,315,414.001,227,327.001,259,232,169,133,197.999,223,208,207,149
ENSG00000009790.14,TRAF3IP3,4131,7308.002,4064.999,5960.998,5887.998,2974.999,2335.999,1727,2296.998,1482.001,1956.001,3113.999,2324
ENSG00000009830.11,POMT2,146,197.001,115,225,221,59,78,77,47,61,73.001,64,71
ENSG00000009844.15,VTA1,619.999,760,631,733.001,536,587,507,230,567,326.001,339,498,414.001
ENSG00000009950.15,MLXIPL,0,1,0,0,2,0,1,1,0,1,8,0,0
ENSG00000009954.10,BAZ1B,2286,3292.001,2304,2935,2557,1465,1192,633.001,1470,846,632.001,1216,840
ENSG00000010017.12,RANBP9,963,1320,1121,1172,993,776,815,707,527,1020,1018,658,709
ENSG00000010030.13,ETV7,196,431,453.999,282.001,215,80,208,23,218,25,86,114,6
ENSG00000010072.15,SPRTN,315,437,397,418,375,305,262.999,283.001,248,372,431,235.001,245
ENSG00000010165.19,METTL13,436,824.999,447,782,671.001,438,337,75,531,106,108,299.999,286
ENSG00000010219.13,DYRK4,69,98.001,70,91,78,45,45,19,26.999,25,12,46,37.001
ENSG00000010244.16,ZNF207,5676.999,5893.999,5855.999,6498.998,5070.001,5318.998,4529,4327,4150,4318,4933.319,5002,4080
ENSG00000010256.10,UQCRC1,870,1480.001,852,1354.001,1398,787.999,579,362.001,1029.999,569.001,538.999,449,634.999
ENSG00000010270.13,STARD3NL,469,709,660.001,689.001,491,574.001,437,327.999,538,455.999,491,380,550
ENSG00000010278.11,CD9,148,420,203.001,458,528,170,222,390.001,185.999,368.999,453,38,196
ENSG00000010282.14,HHATL,0,0,0,1,7,0,6,2,0,0,0,1,0
ENSG00000010292.12,NCAPD2,1648.001,2376.999,1342.001,2449,2131,989.999,998,502.999,1965,954,802,948.999,701.999
ENSG00000010295.19,IFFO1,1397,2123.001,1275,2100.001,1868,736.999,666,353.999,682,282,456,582,714.001
ENSG00000010310.8,GIPR,178,168,83.001,141,198,30,41,66,41,26,90,69,30
ENSG00000010318.19,PHF7,88.001,116,94,128,118,36.001,33.001,48,42,39,51,54.001,31.999
ENSG00000010319.6,SEMA3G,31,33,15,29,33,15,12,6,4,1,7,6,8
ENSG00000010322.15,NISCH,2843.001,4039.001,2452,3863.999,4123,1715.999,1280,1148.999,1645.001,1259.999,1473,1501.999,1371.999
ENSG00000010327.10,STAB1,2285,2707.999,1385.999,5156.999,3296,3466,2214,740,1704,726,1406.999,1139,1504
ENSG00000010361.13,FUZ,128,249.999,278,281.002,337,72,92,58.999,97,86,80.001,90,105
ENSG00000010379.15,SLC6A13,2,3,4,7,4,3,11,5,6,6,1,7,6
