gene_id,gene_name,S231145,S231288,S231447,S231491,S231603,VN_0005,VN_0007,VN_0012,VN_0085,VN_0188,VN_0413,VN_0812,VN_0822
ENSG00000277213.1,RP11-286O1.2,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000277214.1,RP11-70D24.3,2,3,2,3,4,2,0,0,0,0,0,1,0
ENSG00000277215.1,SPANXA2-OT1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277216.1,AC022073.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277217.1,uc_338,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277218.1,RP11-500G10.5,3,2,0,6,1,7,1,0,5,0,0,2,3
ENSG00000277223.1,RP11-578B16.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277224.1,HIST1H2BF,107,114,179,128,100,35,50,27,39,39,26,67,30
ENSG00000277225.1,MIR194-2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277227.1,RP11-161P17.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277228.1,RP11-189B4.7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277229.1,RP11-355N15.3,0,8,0,2,0,0,1,0,0,0,0,1,0
ENSG00000277231.1,AL121970.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277232.2,GTSE1-AS1,31,44,22,38,55,7,16,8,14,7,11,10,20
ENSG00000277233.1,Metazoa_SRP,2,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000277234.1,RNU1-5P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277235.1,RP4-550H1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277239.1,MIR7855,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277241.1,RP11-114M1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277243.1,MIR3118-3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277244.1,FP236383.11,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277245.1,RP11-48G14.3,0,0,0,0,0,0,0,1,0,0,0,0,0
